,Positive Score,Negative Score,Player,Pos,Squad,Season,Comp,PlayerScore
123,30.945095154822237,0.7700552687528679,Jesús Areso,DF,Osasuna,2023,La Liga,30.17503988606937
124,-42.40434093373108,-7.500831501111731,Matias Arezo,FW,Granada,2023,La Liga,-34.903509432619344
125,-62.325119653733495,-10.402316978729637,Iñigo Arguibide,DF,Osasuna,2023,La Liga,-51.92280267500386
126,-36.938507454465025,-8.34363426217595,Yoël Armougom,"DF,MF",Clermont Foot,2023,Ligue 1,-28.594873192289075
127,-16.722335472462287,-2.1814385074401397,José Arnaiz,"FW,MF",Osasuna,2023,La Liga,-14.540896965022148
128,-12.66864368335159,-3.3254039842165075,Hákon Arnar Haraldsson,"FW,MF",Lille,2023,Ligue 1,-9.343239699135083
129,-21.100648503857418,-3.1512338616104905,Marko Arnautović,FW,Inter,2023,Serie A,-17.94941464224693
130,29.163979726367472,0.3043868723639539,Maximilian Arnold,MF,Wolfsburg,2023,Bundesliga,28.85959285400352
131,12.848049933209037,1.5132933742531725,Sergio Arribas,"MF,FW",Almería,2023,La Liga,11.334756558955863
132,-34.79526654301266,-10.517971963378862,Arthur,DF,Leverkusen,2023,Bundesliga,-24.277294579633796
133,-2.3218844279585444,5.802327245269677,Takuma Asano,"FW,MF",Bochum,2023,Bundesliga,-8.12421167322822
134,-4.943449471495616,-6.104521827872275,Marco Asensio,"MF,FW",Paris S-G,2023,Ligue 1,1.1610723563766587
135,-13.620967561038448,-7.087113774056745,Kristjan Asllani,MF,Inter,2023,Serie A,-6.533853786981703
136,-18.262540167292894,1.5381000377613354,Joel Asoro,"FW,MF",Metz,2023,Ligue 1,-19.80064020505423
137,39.31371946803095,4.7879592212359965,Iago Aspas,FW,Celta Vigo,2023,La Liga,34.52576024679496
138,-26.367821154350885,9.520824079338247,Lorenz Assignon,DF,Burnley,2023,Premier League,-35.88864523368913
139,4.452165850586403,0.21672050893689848,Lorenz Assignon,DF,Rennes,2023,Ligue 1,4.235445341649505
140,-19.690636951748473,-6.713777992512507,Youcef Atal,DF,Nice,2023,Ligue 1,-12.976858959235965
141,-27.636055667096738,-4.68446188325303,Valentin Atangana Edoa,MF,Reims,2023,Ligue 1,-22.95159378384371
142,-13.981757251365082,-3.2116075746541988,Arthur Atta,"MF,FW",Metz,2023,Ligue 1,-10.770149676710883
143,24.202870766640192,1.5388792881488376,Pierre-Emerick Aubameyang,FW,Marseille,2023,Ligue 1,22.663991478491354
144,18.132119045794408,-2.9915975917218276,Tommaso Augello,DF,Cagliari,2023,Serie A,21.123716637516235
145,7.607785348875544,-4.257869861902291,Carlos Augusto,DF,Inter,2023,Serie A,11.865655210777835
146,-13.000116303212202,-6.150359184997112,Yann Aurel Bisseck,DF,Inter,2023,Serie A,-6.8497571182150905
147,-17.36678745487281,-1.5189281010151723,Serge Aurier,"DF,MF",Nott'ham Forest,2023,Premier League,-15.847859353857638
148,-11.205801336503026,2.2828531753367503,Ezequiel Ávila,"FW,MF",Osasuna,2023,La Liga,-13.488654511839776
149,-35.226356336608816,-0.339323587128439,Ezequiel Ávila,FW,Betis,2023,La Liga,-34.887032749480376
150,-14.225778447280009,0.1259093941839905,Taiwo Awoniyi,FW,Nott'ham Forest,2023,Premier League,-14.351687841463999
151,-23.16034859157207,0.16840401629495994,André Ayew,"FW,MF",Le Havre,2023,Ligue 1,-23.32875260786703
152,38.566632532535436,21.537279214132965,Jordan Ayew,"FW,MF",Crystal Palace,2023,Premier League,17.02935331840247
153,3.667119212537309,-0.04779974991232433,Neil El Aynaoui,MF,Lens,2023,Ligue 1,3.7149189624496333
154,-27.095352306353867,-2.9214607209045838,Sardar Azmoun,"FW,MF",Roma,2023,Serie A,-24.173891585449283
155,1.1701299455030705,-2.7285712579872485,César Azpilicueta,DF,Atlético Madrid,2023,La Liga,3.898701203490319
156,-16.873668258460626,-4.337978781566487,Paulo Azzi,"DF,MF",Cagliari,2023,Serie A,-12.535689476894138
157,-14.323401819137883,-3.428221696108377,Oussama El Azzouzi,MF,Bologna,2023,Serie A,-10.895180123029506
158,-1.9586319434252775,2.4888190198977203,Iddrisu Baba,MF,Almería,2023,La Liga,-4.447450963322998
159,-35.827636187195154,-10.337173910104587,Srđan Babić,DF,Almería,2023,La Liga,-25.490462277090565
160,-31.274757921370874,-5.92241375964641,Shavy Babicka,FW,Toulouse,2023,Ligue 1,-25.352344161724464
161,-44.85198637284971,-7.325844544351105,Aliou Badara Baldé,"FW,DF",Nice,2023,Ligue 1,-37.5261418284986
162,9.223070673963294,2.604521862718899,Loïc Bade,DF,Sevilla,2023,La Liga,6.618548811244395
163,26.60895947994018,1.8085562057112508,Milan Badelj,MF,Genoa,2023,Serie A,24.800403274228927
164,12.023262037196588,-0.05678223061053883,Matthias Bader,"DF,MF",Darmstadt 98,2023,Bundesliga,12.080044267807127
165,-10.885303470335366,-5.158020858174531,Benoît Badiashile,DF,Chelsea,2023,Premier League,-5.727282612160835
166,41.99104979935437,11.193761990021574,Alex Baena,"MF,FW",Villarreal,2023,La Liga,30.797287809332797
167,-24.418223123898557,-5.214898979736949,Jaime Báez,"FW,MF",Frosinone,2023,Serie A,-19.203324144161606
168,34.32607190952974,5.415684317350374,Leon Bailey,"MF,FW",Aston Villa,2023,Premier League,28.91038759217936
169,-27.785724903212657,-1.8445857410904036,Eric Bailly,DF,Villarreal,2023,La Liga,-25.941139162122255
170,-7.230519882632344,-4.125542679939678,Nedim Bajrami,"MF,FW",Sassuolo,2023,Serie A,-3.104977202692666
171,-44.00493421411465,-5.6064847204324755,Cédric Bakambu,FW,Betis,2023,La Liga,-38.39844949368217
172,-9.968334008663223,-2.594665368271407,Tiemoué Bakayoko,MF,Lorient,2023,Ligue 1,-7.373668640391816
173,-30.44414248271008,-6.959168672725845,Mitchel Bakker,DF,Atalanta,2023,Serie A,-23.484973809984236
174,12.219015529387839,2.264035397536812,Ridle Baku,"DF,MF",Wolfsburg,2023,Bundesliga,9.954980131851027
175,25.611110174203493,9.1094552143549,Dilane Bakwa,"FW,MF",Strasbourg,2023,Ligue 1,16.501654959848594
176,-16.560365736316523,-3.1066607853989785,Tommaso Baldanzi,"MF,FW",Empoli,2023,Serie A,-13.453704950917544
177,-34.492040889552236,-6.858799330167374,Tommaso Baldanzi,"FW,MF",Roma,2023,Serie A,-27.633241559384864
178,6.552978145479775,-0.8017781870531746,Alejandro Balde,DF,Barcelona,2023,La Liga,7.35475633253295
179,-16.83926687957895,-3.4258526915263237,George Baldock,DF,Sheffield Utd,2023,Premier League,-13.413414188052627
180,-3.2992699644882286,1.1240710997330208,Carlos Baleba,MF,Brighton,2023,Premier League,-4.423341064221249
181,-38.287070576804034,-10.163752239694837,Carlos Baleba,MF,Lille,2023,Ligue 1,-28.123318337109197
182,33.2080344794884,4.390731205830237,Leonardo Balerdi,DF,Marseille,2023,Ligue 1,28.817303273658162
183,18.654436730412847,2.1594318611400847,Iván Balliu,DF,Rayo Vallecano,2023,La Liga,16.495004869272762
184,-40.77301979268728,-8.45736307074655,Fodé Ballo-Touré,"DF,MF",Fulham,2023,Premier League,-32.31565672194073
185,-0.81141677762775,5.6917221238238485,Folarin Balogun,FW,Monaco,2023,Ligue 1,-6.503138901451599
186,21.787320316852387,2.9636082883527592,Jonathan Bamba,"MF,FW",Celta Vigo,2023,La Liga,18.823712028499628
187,-57.95578890840671,-7.554494008111483,Muhamad Bamba,FW,Lorient,2023,Ligue 1,-50.40129490029523
188,-40.55489842434561,-10.133971755311993,Samuel Bamba,FW,Dortmund,2023,Bundesliga,-30.420926669033616
189,8.68968624294994,10.36892262009034,Lameck Banda,FW,Lecce,2023,Serie A,-1.6792363771404002
190,-32.36232310687651,-9.203542079717673,Daniel Bandeira,MF,Hellas Verona,2023,Serie A,-23.158781027158838
191,-33.13906667021919,-5.1317002524651,Mamady Bangré,"FW,MF",Toulouse,2023,Ligue 1,-28.007366417754085
